Zr	Fescp	Fbary	sfe	yfe2
   1.7362013e+01   4.0694102e+01   1.7440911e-01   1.0671106e-10   5.2326886e-02
   1.7416375e+01   1.1128616e+02   5.9310426e-02   8.6225637e-11   1.0904967e-01
   1.7448341e+01   3.4120789e+01   2.3858340e-02   1.5492747e-10   1.1549229e-01
   1.7536734e+01   5.7970356e+01   1.1747884e-01   1.3766550e-10   1.5690945e-01
   1.7564937e+01   3.2034229e+01   1.9655850e-01   1.6901477e-10   1.6755891e-01
   1.7659055e+01   5.6204104e+01   1.9503429e-01   6.1990529e-11   1.1292110e-01
   1.7716031e+01   8.1699716e+01   3.9646837e-03   2.0879564e-11   1.5214132e-01
   1.7764073e+01   6.7781030e+01   1.8069476e-01   3.4869077e-11   4.6760212e-02
   1.7793459e+01   1.0296548e+02   4.8030503e-02   1.2315981e-10   1.1157408e-01
   1.7875697e+01   6.0888894e+01   9.2451717e-02   4.1694426e-11   1.5730572e-01
   1.7915816e+01   3.7358155e+01   1.4129618e-01   5.2709132e-11   1.7941976e-01
   1.8014395e+01   3.1328451e+01   8.2136887e-02   1.5550900e-10   5.1164308e-02
   1.8062027e+01   4.2039772e+01   1.8683405e-01   1.3156098e-10   8.0598319e-02
   1.8133038e+01   7.5529323e+00   1.7320175e-01   1.0738414e-10   6.7256619e-02
   1.8169437e+01   3.5819222e+01   1.8479550e-02   2.5111639e-11   1.2282991e-01
   1.8228857e+01   1.1116566e+01   3.4328150e-02   6.4193036e-11   1.4535390e-01
   1.8267462e+01   4.2869627e+01   1.6216446e-01   4.7095897e-11   9.7039307e-02
   1.8327182e+01   5.4091211e+01   1.6460684e-01   1.3958363e-10   1.5018561e-01
   1.8402625e+01   9.6113064e+01   1.7148877e-01   7.3990786e-11   5.3701736e-02
   1.8444577e+01   5.1990482e-01   1.0471505e-01   1.5718916e-10   1.8222774e-01
   1.8521419e+01   6.6011506e+01   9.1321621e-02   6.1202151e-11   1.8702752e-01
   1.8562907e+01   9.8443462e+01   3.0781599e-02   3.1202595e-11   1.3208946e-01
   1.8647135e+01   1.3229496e+01   1.2017269e-01   3.3842574e-11   1.0787039e-01
   1.8656566e+01   2.2802858e+01   1.6185542e-01   1.6043054e-10   8.3336201e-02
   1.8753884e+01   4.5247258e+01   6.8564249e-02   1.0155879e-10   1.9483611e-01
   1.8796030e+01   9.9881041e+01   6.3091082e-02   4.1787428e-11   7.3842942e-02
   1.8863980e+01   7.4486930e+01   1.5414459e-01   3.1080477e-11   1.0716998e-01
   1.8938095e+01   9.0991341e+01   5.5697195e-02   1.6589165e-10   1.9835140e-01
   1.8975149e+01   1.0497526e+02   1.0791400e-01   1.0523608e-10   5.8718877e-02
   5.0446718e+00   4.3639411e-01   8.0230288e-04   2.0551969e-11   4.0036069e-02
   5.0645562e+00   1.0192336e+02   7.4199218e-02   1.6131457e-10   1.3339862e-01
   5.1688084e+00   1.3414742e+01   1.2244778e-01   1.6329478e-10   4.7490972e-02
   5.2219074e+00   1.6233683e+01   1.1417787e-01   1.2813749e-10   1.6518892e-01
   5.2767200e+00   2.1078949e+01   1.6874909e-01   1.0795787e-10   9.8371446e-02
